"((40.7407384, -73.9153857), (40.740739000000005, -73.9153857))",1
"((40.8645307, -73.9266202), (40.8645337, -73.9266202))",1
"((40.433513700000006, -73.973653), (40.6866757, -73.973653))",1
"((40.837256599999996, -73.9244387), (40.8372609, -73.9244387))",5
"((40.433513700000006, -73.967834), (40.6866757, -73.967834))",2
"((40.8135852, -73.9310223), (40.813587899999995, -73.9310223))",1
"((40.433513700000006, -73.905732), (40.6866757, -73.905732))",4
"((40.820021200000006, -73.9120293), (40.8200239, -73.9120293))",1
"((40.803512899999994, -73.9413417), (40.8035144, -73.9413417))",2
"((40.7045741, -73.9486678), (40.7045741, -73.9486671))",1
"((40.433513700000006, -73.91907590000001), (40.6866757, -73.91907590000001))",1
"((40.8500512, -73.9135152), (40.850054899999996, -73.9135152))",3
"((40.433513700000006, -73.9477385), (40.6866757, -73.9477385))",1
"((40.8094854, -73.95357879999999), (40.809487, -73.95357879999999))",1
"((40.7081495, -73.9684346), (40.7081495, -73.9684329))",3
"((40.433513700000006, -73.90783459999999), (40.6866757, -73.90783459999999))",3
"((40.433513700000006, -73.98547070000001), (40.6866757, -73.98547070000001))",1
"((40.7077889, -73.95059549999999), (40.7077889, -73.9505936))",1
"((40.433513700000006, -73.971558), (40.6866757, -73.971558))",1
"((40.433513700000006, -73.9424347), (40.6866757, -73.9424347))",3
"((40.433513700000006, -73.9582062), (40.6866757, -73.9582062))",2
"((40.867026, -73.91991440000001), (40.8670278, -73.91991440000001))",3
"((40.8091146, -73.9228876), (40.809116700000004, -73.9228876))",2
"((40.703415500000006, -73.9425554), (40.703415500000006, -73.9425546))",5
"((40.7599201, -73.920996), (40.7599206, -73.920996))",1
"((40.774627100000004, -73.95914520000001), (40.774627100000004, -73.95914499999999))",2
"((40.433513700000006, -73.9977366), (40.6866757, -73.9977366))",1
"((40.70022879999999, -73.9621804), (40.700229, -73.9621804))",1
"((40.433513700000006, -73.92521690000001), (40.6866757, -73.92521690000001))",1
"((40.7629885, -73.916841), (40.762988899999996, -73.916841))",3
"((40.8294157, -73.91947890000002), (40.829419, -73.91947890000002))",4
"((40.433513700000006, -73.9204671), (40.6866757, -73.9204671))",2
"((40.6866757, -73.9721389), (40.6917447, -73.9721389))",1
"((40.7657403, -73.9835978), (40.7657403, -73.9835971))",8
"((40.7414816, -73.9141325), (40.7414816, -73.914132))",1
"((40.433513700000006, -73.926462), (40.6866757, -73.926462))",2
"((40.8111549, -73.9098231), (40.811157, -73.9098231))",1
"((40.433513700000006, -73.9737582), (40.6866757, -73.9737582))",2
"((40.6866757, -73.9257675), (40.6917447, -73.9257675))",2
"((40.8481242, -73.90162409999999), (40.8481242, -73.8958228))",1
"((40.8268699, -73.9455125), (40.82687070000001, -73.9455125))",1
"((40.8360865, -73.9399503), (40.8360872, -73.9399503))",1
"((40.8117515, -73.95086059999998), (40.811753100000004, -73.95086059999998))",1
"((40.7105552, -73.952551), (40.7105568, -73.952551))",2
"((40.7169645, -73.9981766), (40.7169645, -73.9981755))",1
"((40.729372999999995, -73.9961949), (40.7293736, -73.9961949))",6
"((40.792411200000004, -73.9724285), (40.792411200000004, -73.97242659999999))",8
"((40.433513700000006, -73.96378390000001), (40.6866757, -73.96378390000001))",2
"((40.433513700000006, -73.91731109999999), (40.6866757, -73.91731109999999))",1
"((40.777855100000004, -73.9747665), (40.777857, -73.9747665))",2
"((40.433513700000006, -73.9591592), (40.6866757, -73.9591592))",5
"((40.433513700000006, -73.9101607), (40.6866757, -73.9101607))",3
"((40.79439970000001, -73.9701194), (40.794401, -73.9701194))",4
"((40.7184963, -73.9877686), (40.71849829999999, -73.9877686))",2
"((40.7597801, -73.91724909999999), (40.7597814, -73.91724909999999))",2
"((40.433513700000006, -73.93511090000001), (40.6866757, -73.93511090000001))",1
"((40.8008847, -73.9607615), (40.8008867, -73.9607615))",1
"((40.776924, -73.93496329999999), (40.776924900000004, -73.93496329999999))",1
"((40.8251838, -73.9061282), (40.8251838, -73.90607800000001))",1
"((40.719492100000004, -73.9912863), (40.719492100000004, -73.9912855))",1
"((40.433513700000006, -73.9107072), (40.6866757, -73.9107072))",2
"((40.854190700000004, -73.90162409999999), (40.854190700000004, -73.8958228))",1
"((40.7609073, -73.9196412), (40.7609075, -73.9196412))",1
"((40.757833000000005, -73.9199336), (40.757834100000004, -73.9199336))",10
"((40.433513700000006, -73.917434), (40.6866757, -73.917434))",1
"((40.7107829, -73.99663259999998), (40.7107836, -73.99663259999998))",7
"((40.6975312, -73.910662), (40.6975406, -73.910662))",1
"((40.751646, -73.9843375), (40.751646, -73.98433709999999))",6
"((40.433513700000006, -73.91623670000001), (40.6866757, -73.91623670000001))",1
"((40.866817299999994, -73.931), (40.866817299999994, -73.9309987))",1
"((40.7360282, -73.9822699), (40.7360282, -73.9822695))",1
"((40.7981378, -73.9711113), (40.7981419, -73.9711113))",2
"((40.433513700000006, -73.91302840000002), (40.6866757, -73.91302840000002))",1
"((40.7548734, -73.93552629999999), (40.754873499999995, -73.93552629999999))",3
"((40.433513700000006, -73.9567278), (40.6866757, -73.9567278))",1
"((40.433513700000006, -73.95368979999999), (40.6866757, -73.95368979999999))",1
"((40.692485, -73.9309817), (40.693144000000004, -73.9309817))",2
"((40.7587958, -73.918601), (40.7587958, -73.9186002))",2
"((40.433513700000006, -73.98870840000001), (40.6866757, -73.98870840000001))",4
"((40.815382799999995, -73.9182606), (40.8153843, -73.9182606))",2
"((40.7894838, -73.9573954), (40.7894838, -73.95739520000001))",1
"((40.433513700000006, -73.9422518), (40.6866757, -73.9422518))",2
"((40.433513700000006, -73.9101996), (40.6866757, -73.9101996))",1
"((40.809092299999996, -73.9258541), (40.8090945, -73.9258541))",1
"((40.8147294, -73.94920040000001), (40.8147294, -73.9491998))",7
"((40.433513700000006, -73.9314182), (40.6866757, -73.9314182))",3
"((40.433513700000006, -73.9181372), (40.6866757, -73.9181372))",1
"((40.433513700000006, -73.9732757), (40.6866757, -73.9732757))",1
"((40.714611600000005, -73.95476), (40.714611600000005, -73.95475920000001))",1
"((40.433513700000006, -73.92204190000001), (40.6866757, -73.92204190000001))",1
"((40.8355659, -73.9207941), (40.8355692, -73.9207941))",2
"((40.7245888, -73.9753821), (40.7245898, -73.9753821))",5
"((40.433513700000006, -73.9361778), (40.6866757, -73.9361778))",2
"((40.8523219, -73.92043100000001), (40.852324700000004, -73.92043100000001))",2
"((40.828323299999994, -73.9311804), (40.828325899999996, -73.9311804))",1
"((40.433513700000006, -73.93907779999999), (40.6866757, -73.93907779999999))",7
"((40.8110633, -73.9270372), (40.8110684, -73.9270372))",1
"((40.764785499999995, -73.9052527), (40.764785499999995, -73.904777))",1
"((40.755332, -73.9852641), (40.7553328, -73.9852641))",3
"((40.7597685, -73.98981140000001), (40.7597685, -73.989811))",15
"((40.7382192, -73.9920121), (40.73822, -73.9920121))",6
"((40.433513700000006, -73.9308702), (40.6866757, -73.9308702))",5
"((40.433513700000006, -73.93969849999999), (40.6866757, -73.93969849999999))",1
"((40.842946999999995, -73.8958228), (40.842946999999995, -73.8938515))",2
"((40.433513700000006, -73.96161009999999), (40.6866757, -73.96161009999999))",1
"((40.7211312, -73.95633609999999), (40.7211312, -73.9563338))",7
"((40.76292120000001, -73.96980119999999), (40.7629217, -73.96980119999999))",1
"((40.433513700000006, -73.9548145), (40.6866757, -73.9548145))",1
"((40.433513700000006, -73.94276009999999), (40.6866757, -73.94276009999999))",1
"((40.706576, -73.9575999), (40.706576, -73.9575997))",1
"((40.826122999999995, -73.93890490000001), (40.826122999999995, -73.93890400000001))",1
"((40.693144000000004, -73.9678459), (40.6933125, -73.9678459))",1
"((40.77451129999999, -73.9254667), (40.7745118, -73.9254667))",1
"((40.7610619, -73.90162409999999), (40.7610619, -73.8958228))",2
"((40.7373945, -73.9797254), (40.737395, -73.9797254))",8
