"(40.576237762, -73.959504022)"
"(40.576237762, -73.959504022)"
"(40.576332605, -73.964068481)"
"(40.576343024, -73.987423822)"
"(40.576476149, -73.966775441)"
"(40.576476149, -73.966775441)"
"(40.576518506, -73.985832684)"
"(40.576576081, -73.985303502)"
"(40.576576081, -73.985303502)"
"(40.576576081, -73.985303502)"
"(40.576595446, -73.971505505)"
"(40.576595513, -73.962221647)"
"(40.576645978, -73.976480396)"
"(40.576645978, -73.976480396)"
"(40.576645978, -73.976480396)"
"(40.576645978, -73.976480396)"
"(40.576645978, -73.976480396)"
"(40.576703151, -73.99452975)"
"(40.576713791, -73.97281938)"
"(40.576752988, -73.965464976)"
"(40.576809099, -73.983183168)"
"(40.576835221, -73.965097754)"
"(40.576899868, -74.110547905)"
"(40.576922401, -74.118240736)"
"(40.57693115, -73.964644128)"
"(40.576955772, -74.002694096)"
"(40.57699549, -73.981523609)"
"(40.577087228, -73.99135108)"
"(40.577191856, -74.00057021)"
"(40.577197683, -73.950547083)"
"(40.577207916, -73.990289118)"
"(40.577207916, -73.990289118)"
"(40.577252242, -74.000033837)"
"(40.577341988, -73.971325194)"
"(40.577537672, -73.997384355)"
"(40.57755356, -74.011837716)"
"(40.577556193, -73.987117607)"
"(40.577556193, -73.987117607)"
"(40.577587416, -73.976336071)"
"(40.577619067, -73.961443502)"
"(40.577619067, -73.961443502)"
"(40.577619067, -73.961443502)"
"(40.577712242, -73.961004266)"
"(40.577953265, -74.102316756)"
"(40.578002718, -73.959636148)"
"(40.578098938, -73.981753695)"
"(40.578098938, -73.981753695)"
"(40.578207172, -73.963642686)"
"(40.578267232, -73.972325564)"
"(40.578267232, -73.972325564)"
"(40.578267232, -73.972325564)"
"(40.578267232, -73.972325564)"
"(40.578510134, -73.934900975)"
"(40.578510134, -73.934900975)"
"(40.578510134, -73.934900975)"
"(40.578521154, -73.96721361)"
"(40.578809713, -73.959700459)"
"(40.578888879, -74.134613039)"
"(40.578944834, -73.985212983)"
"(40.579002406, -73.984680183)"
"(40.579004853, -73.960445524)"
"(40.579077815, -73.957241549)"
"(40.579130257, -73.835715118)"
"(40.579162625, -74.000372232)"
"(40.579162625, -74.000372232)"
"(40.579162625, -74.000372232)"
"(40.579242006, -73.963782521)"
"(40.579314146, -74.132403533)"
"(40.579314146, -74.132403533)"
"(40.579353106, -73.980496974)"
"(40.579380452, -73.967832378)"
"(40.579451766, -73.979607759)"
"(40.579508854, -74.106131486)"
"(40.579532926, -73.955848077)"
"(40.579607031, -73.963674324)"
"(40.579661918, -73.937995814)"
"(40.579760076, -73.985482799)"
"(40.579764978, -74.102157534)"
"(40.579780195, -73.998424655)"
"(40.579780195, -73.998424655)"
"(40.579780195, -73.998424655)"
"(40.579812437, -73.971835329)"
"(40.579829245, -73.973257308)"
"(40.579966082, -73.836699455)"
"(40.579983267, -73.974636035)"
"(40.580031279, -73.960066918)"
"(40.580074206, -73.839409978)"
"(40.580091723, -73.83626355)"
"(40.580200259, -74.160733601)"
"(40.580303404, -73.984399086)"
"(40.580314472, -74.101557176)"
"(40.580368518, -73.967605103)"
"(40.580403286, -73.831535985)"
"(40.580403286, -73.831535985)"
"(40.580532964, -73.966759023)"
"(40.580613882, -73.827330639)"
"(40.580755983, -73.982238971)"
"(40.580801731, -73.833727393)"
"(40.580802725, -73.946893997)"
"(40.580802725, -73.946893997)"
"(40.580902779, -74.00344306)"
"(40.58095849, -73.837780638)"
"(40.580973026, -73.960879962)"
"(40.581064689, -73.964206336)"
"(40.581083028, -73.98514771)"
"(40.581314644, -73.956743311)"
"(40.581342663, -73.830115195)"
"(40.58142964, -73.831396593)"
"(40.581541558, -73.961945246)"
"(40.581546834, -73.984647199)"
"(40.581966322, -73.959943359)"
"(40.581966322, -73.959943359)"
"(40.582109905, -73.825580726)"
"(40.582301992, -74.168936095)"
"(40.582301992, -74.168936095)"
"(40.582301992, -74.168936095)"
"(40.582301992, -74.168936095)"
"(40.582301992, -74.168936095)"
"(40.582301992, -74.168936095)"
"(40.582301992, -74.168936095)"
"(40.582301992, -74.168936095)"
"(40.582301992, -74.168936095)"
"(40.582301992, -74.168936095)"
"(40.582436248, -73.954114508)"
"(40.582439083, -74.094983012)"
"(40.582514762, -74.086022445)"
"(40.582552723, -73.957206924)"
"(40.582565971, -73.955946875)"
"(40.582733235, -73.973205744)"
"(40.583008715, -73.958167867)"
"(40.583288997, -73.959035329)"
"(40.583735714, -73.893713467)"
"(40.583804375, -73.819077966)"
"(40.583850656, -73.938308741)"
"(40.583865201, -73.821111907)"
"(40.584040932, -73.934935186)"
"(40.58423521, -73.813860096)"
"(40.584242374, -73.932044027)"
"(40.58424815, -73.932530048)"
"(40.584289354, -73.942700586)"
"(40.584346395, -73.931568693)"
"(40.584395509, -73.931079014)"
"(40.584475148, -73.969075599)"
"(40.584567267, -74.097117369)"
"(40.584635204, -73.81509746)"
"(40.584641189, -73.956334331)"
"(40.584785328, -74.102042806)"
"(40.584811279, -74.100627953)"
"(40.584917386, -73.92721902)"
"(40.584956764, -73.818804825)"
"(40.584969729, -73.971062703)"
"(40.584969729, -73.971062703)"
"(40.584980156, -73.811172233)"
"(40.584980156, -73.811172233)"
"(40.584980156, -73.811172233)"
"(40.584980156, -73.811172233)"
"(40.585027479, -73.932198038)"
"(40.585071961, -73.93316286)"
"(40.58507999, -74.104023393)"
"(40.585114451, -73.946123715)"
"(40.585147277, -73.959174598)"
"(40.585163392, -73.966573105)"
"(40.585189576, -73.98791539)"
"(40.585189576, -73.98791539)"
"(40.585257144, -73.930692898)"
"(40.585273164, -73.822803861)"
"(40.585287016, -73.812507063)"
"(40.585331544, -73.982072143)"
"(40.58535697, -73.987537333)"
"(40.58539223, -73.984117076)"
"(40.585438015, -73.951563457)"
"(40.585475233, -73.822126473)"
"(40.585557323, -73.820200105)"
"(40.585585034, -73.948794739)"
"(40.585726469, -73.967948131)"
"(40.585726469, -73.967948131)"
"(40.585773655, -73.953435361)"
"(40.585778463, -73.930371931)"
"(40.585778463, -73.930371931)"
"(40.585895261, -73.97326568)"
"(40.585943345, -73.816101923)"
"(40.585943345, -73.816101923)"
"(40.58601168, -73.958587221)"
"(40.586040892, -73.820508429)"
"(40.586040892, -73.820508429)"
"(40.586154306, -73.921550789)"
"(40.586201072, -73.814218247)"
"(40.586231405, -73.816011121)"
"(40.586231405, -73.816011121)"
"(40.586231405, -73.816011121)"
"(40.586231405, -73.816011121)"
"(40.586231405, -73.816011121)"
"(40.586231405, -73.816011121)"
"(40.586231405, -73.816011121)"
"(40.586231405, -73.816011121)"
"(40.586231405, -73.816011121)"
"(40.586291409, -73.966241312)"
"(40.586373673, -73.921233704)"
"(40.586465529, -73.816521723)"
"(40.586465529, -73.816521723)"
"(40.586511556, -73.952336748)"
"(40.586568179, -73.929085791)"
"(40.586603393, -73.803614134)"
"(40.586645407, -73.939325053)"
"(40.586663611, -73.95504409)"
"(40.586880078, -73.985366041)"
"(40.58692579, -74.164083716)"
"(40.586936736, -73.814252204)"
"(40.587008509, -74.192170313)"
"(40.587105292, -73.986507305)"
"(40.587167839, -73.953005946)"
"(40.587215409, -73.813452147)"
"(40.587215409, -73.813452147)"
"(40.587215409, -73.813452147)"
"(40.587280654, -73.953689937)"
"(40.587294955, -73.795669673)"
"(40.58732233, -74.091299579)"
"(40.58732233, -74.091299579)"
"(40.587390656, -73.954215514)"
"(40.587390656, -73.954215514)"
"(40.587391915, -74.191044497)"
"(40.587400679, -73.812605541)"
"(40.587425088, -73.814114032)"
"(40.587514489, -73.811705125)"
"(40.587541822, -73.954723064)"
"(40.587574136, -73.811254908)"
"(40.587603573, -74.168009805)"
"(40.587611562, -73.95766093)"
"(40.587628076, -73.950877796)"
"(40.58766357, -73.810559779)"
"(40.58766357, -73.810559779)"
"(40.58766357, -73.810559779)"
"(40.587817703, -73.945322246)"
"(40.587848834, -74.151516981)"
"(40.587851042, -73.952393398)"
"(40.587866282, -74.160892468)"
"(40.587879866, -73.808575342)"
"(40.587879866, -73.808575342)"
"(40.587879866, -73.808575342)"
"(40.588129218, -73.942470466)"
"(40.588153361, -74.092107207)"
"(40.588211587, -73.987763626)"
